"event_stamp","origin","module","active","records","rate_loop_min","rate_loop_max","rate_loop_avg","rate_loop_med","rate_loop_procs","rate_filter_min","rate_filter_max","rate_filter_avg","rate_filter_med","rate_filter_proc"
"2026-01-01 18:00:07","Sqlrate","mx","1","4880","11.0","2150.0","73.93","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 18:00:07","Sqlrate","wb","1","12298","11.0","2547.0","64.59","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 18:00:07","Sqlrate","geo","1","11254","11.0","2233.0","87.79","44.0","22.73","NA","NA","NA","NA","NA"
"2026-01-02 00:00:11","Sqlrate","lg","1","6908","11.0","2280.0","71.8","31.0","32.26","NA","NA","NA","NA","NA"
"2026-01-02 00:00:11","Sqlrate","mx","1","4911","11.0","2150.0","73.64","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-02 00:00:12","Sqlrate","wb","1","12356","11.0","2547.0","64.41","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-02 00:00:12","Sqlrate","geo","1","11311","11.0","2233.0","87.56","44.0","22.73","NA","NA","NA","NA","NA"
"2026-01-02 06:00:10","Sqlrate","lg","1","6977","11.0","2280.0","71.41","31.0","32.26","NA","NA","NA","NA","NA"
"2026-01-02 06:00:10","Sqlrate","mx","1","4933","11.0","2150.0","73.53","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-02 06:00:11","Sqlrate","wb","1","12412","11.0","2547.0","64.28","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-02 06:00:11","Sqlrate","geo","1","11375","11.0","2233.0","87.34","44.0","22.73","NA","NA","NA","NA","NA"
"2026-01-02 12:00:06","Sqlrate","lg","1","7092","11.0","2280.0","70.73","31.0","32.26","NA","NA","NA","NA","NA"
"2026-01-02 12:00:06","Sqlrate","mx","1","4939","11.0","2150.0","73.47","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-02 12:00:07","Sqlrate","wb","1","12478","11.0","2547.0","64.08","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-02 12:00:07","Sqlrate","geo","1","11442","11.0","2233.0","87.07","44.0","22.73","NA","NA","NA","NA","NA"
