"event_stamp","origin","module","active","records","rate_loop_min","rate_loop_max","rate_loop_avg","rate_loop_med","rate_loop_procs","rate_filter_min","rate_filter_max","rate_filter_avg","rate_filter_med","rate_filter_proc"
"2025-12-31 01:21:22","Procrate","geo","1","9967","358.0","2000.0","710.28","679.0","1.47","325.0","1960.0","656.2","634.0","1.58"
"2025-12-31 01:27:22","Procrate","lg","1","2689","30.0","2000.0","287.15","198.0","5.05","6.0","1824.0","238.05","162.0","6.17"
"2025-12-31 01:27:22","Procrate","mb","1","509","33.0","1644.0","177.09","143.0","6.99","6.0","1415.0","149.7","119.0","8.4"
"2025-12-31 01:27:22","Procrate","mx","1","5202","23.0","2000.0","164.27","78.0","12.82","2.0","1681.0","107.02","21.0","47.62"
"2025-12-31 01:27:23","Procrate","wb","1","65964","15.0","1996.0","94.44","40.0","25.0","4.0","1852.0","48.08","20.0","50.0"
"2025-12-31 01:27:23","Procrate","geo","1","9967","358.0","2000.0","710.28","679.0","1.47","325.0","1960.0","656.2","634.0","1.58"
"2025-12-31 04:25:46","Procrate","lg","1","2694","30.0","2000.0","287.14","198.0","5.05","6.0","1824.0","238.06","162.0","6.17"
"2025-12-31 04:25:47","Procrate","mb","1","510","33.0","1644.0","177.52","143.0","6.99","6.0","1415.0","150.1","119.0","8.4"
"2025-12-31 04:25:47","Procrate","mx","1","5224","23.0","2000.0","164.16","78.0","12.82","2.0","1681.0","107.01","21.0","47.62"
"2025-12-31 04:25:48","Procrate","wb","1","66192","15.0","1996.0","94.3","40.0","25.0","4.0","1852.0","48.01","20.0","50.0"
"2025-12-31 04:25:48","Procrate","geo","1","10000","358.0","2000.0","710.18","679.0","1.47","325.0","1960.0","656.12","634.0","1.58"
"2025-12-31 04:36:05","Procrate","lg","1","2696","30.0","2000.0","287.06","198.0","5.05","6.0","1824.0","237.99","162.0","6.17"
"2025-12-31 04:36:05","Procrate","mb","1","510","33.0","1644.0","177.52","143.0","6.99","6.0","1415.0","150.1","119.0","8.4"
"2025-12-31 04:36:05","Procrate","mx","1","5224","23.0","2000.0","164.16","78.0","12.82","2.0","1681.0","107.01","21.0","47.62"
"2025-12-31 04:36:06","Procrate","wb","1","66203","15.0","1996.0","94.29","40.0","25.0","4.0","1852.0","48.01","20.0","50.0"
"2025-12-31 04:36:06","Procrate","geo","1","10002","358.0","2000.0","710.19","679.0","1.47","325.0","1960.0","656.13","634.0","1.58"
"2025-12-31 04:56:03","Procrate","lg","1","2696","30.0","2000.0","287.06","198.0","5.05","6.0","1824.0","237.99","162.0","6.17"
"2025-12-31 04:56:04","Procrate","mb","1","510","33.0","1644.0","177.52","143.0","6.99","6.0","1415.0","150.1","119.0","8.4"
"2025-12-31 04:56:04","Procrate","mx","1","5224","23.0","2000.0","164.16","78.0","12.82","2.0","1681.0","107.01","21.0","47.62"
"2025-12-31 04:56:05","Procrate","wb","1","66228","15.0","1996.0","94.28","40.0","25.0","4.0","1852.0","48.0","20.0","50.0"
"2025-12-31 04:56:05","Procrate","geo","1","10003","358.0","2000.0","710.21","679.0","1.47","325.0","1960.0","656.14","634.0","1.58"
"2025-12-31 05:13:35","Procrate","lg","1","2697","30.0","2000.0","287.04","198.0","5.05","6.0","1824.0","237.97","162.0","6.17"
"2025-12-31 05:13:35","Procrate","mb","1","510","33.0","1644.0","177.52","143.0","6.99","6.0","1415.0","150.1","119.0","8.4"
"2025-12-31 05:13:36","Procrate","mx","1","5224","23.0","2000.0","164.16","78.0","12.82","2.0","1681.0","107.01","21.0","47.62"
